Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
NVDA,315.03,Call,325,2021-12-03,7,5.5,5.65,5.8,5.9,3342,1251,2.67,55.68%,0.357376,2021-11-26
ADSK,254.17,Call,275,2021-12-03,7,0.41,0.46,0.52,0.6,567,214,2.65,39.10%,0.076717,2021-11-26
DKNG,36.04,Call,37,2021-12-17,21,2,2.03,2.05,2.01,1114,420,2.65,70.47%,0.471794,2021-11-26
ETN,167.51,Call,160,2022-01-21,56,11.5,11.9,12.3,11.88,1205,457,2.64,30.46%,0.665533,2021-11-26
COTY,9.64,Call,10,2022-02-18,84,1.03,1.06,1.09,1.04,3543,1344,2.64,64.66%,0.515125,2021-11-26
MSFT,329.68,Put,330,2021-11-26,0,0.18,0.36,0.54,0.31,4483,1695,2.64,5.17%,-0.6429,2021-11-26
MSFT,329.68,Call,330,2021-12-10,14,6.25,6.88,7.5,7.1,906,346,2.62,28.31%,0.5025,2021-11-26
WMT,144.9,Put,147,2021-11-26,0,1.5,2.04,2.58,1.4,2571,982,2.62,41.53%,-0.744634,2021-11-26
FCX,37.24,Call,39,2021-12-03,7,0.46,0.49,0.52,0.51,1434,550,2.61,56.53%,0.290323,2021-11-26
BA,199.21,Call,195,2021-12-17,21,11.05,11.18,11.3,11.3,1099,422,2.6,47.93%,0.596271,2021-11-26
TDOC,109.61,Call,115,2021-12-03,7,1.99,2.09,2.19,2.05,1681,647,2.6,67.84%,0.321353,2021-11-26
AMZN,3504.56,Put,3530,2021-12-03,7,70.3,74.15,78,71,699,270,2.59,29.55%,-0.561992,2021-11-26
GE,97.84,Put,94,2021-12-03,7,0.67,0.72,0.77,0.77,840,324,2.59,40.95%,-0.231558,2021-11-26
GME,199.72,Put,140,2021-12-03,7,0.22,0.27,0.31,0.3,705,273,2.58,131.94%,-0.020888,2021-11-26
INO,7.25,Call,7.5,2021-12-03,7,0.26,0.28,0.29,0.26,1610,625,2.58,91.29%,0.418832,2021-11-26
BA,199.21,Call,260,2022-03-18,111,4.15,4.25,4.35,3.85,2306,895,2.58,45.64%,0.175727,2021-11-26
AAL,17.75,Put,16,2022-01-21,56,0.88,0.9,0.92,0.92,2486,963,2.58,62.82%,-0.292636,2021-11-26
AMC,37.63,Put,31,2021-12-03,7,0.2,0.21,0.22,0.21,4574,1777,2.57,104.95%,-0.07981,2021-11-26
SBUX,110.66,Call,117,2021-12-03,7,0.13,0.15,0.16,0.14,787,308,2.56,27.70%,0.074784,2021-11-26
AAL,17.75,Put,18.5,2021-12-17,21,1.44,1.46,1.48,1.58,849,331,2.56,60.19%,-0.584831,2021-11-26
PXD,181.73,Call,12.5,2022-01-21,56,9.2,9.95,10.7,10.3,600,236,2.54,0.00%,0,2021-11-26
APRN,9.84,Call,11,2021-12-17,21,0.55,0.6,0.65,0.6,990,389,2.54,108.98%,0.383803,2021-11-26
FB,333.12,Put,335,2021-11-26,0,1.48,1.76,2.03,1.06,7360,2897,2.54,10.68%,-0.843952,2021-11-26
AAPL,156.81,Call,157.5,2021-12-03,7,2.25,2.4,2.54,2.33,26393,10407,2.54,30.72%,0.466606,2021-11-26
AAL,17.75,Call,17,2022-01-21,56,2.02,2.05,2.08,2.06,636,251,2.53,61.16%,0.618263,2021-11-26
NVAX,217.97,Call,250,2021-12-03,7,6.4,6.58,6.75,6.5,753,298,2.53,141.28%,0.273266,2021-11-26
MOS,35.32,Call,42,2022-03-18,111,1.43,1.49,1.55,1.49,902,357,2.53,47.22%,0.292929,2021-11-26
AFRM,136.98,Call,137,2021-12-03,7,5.8,6.15,6.5,5.9,622,247,2.52,78.12%,0.521086,2021-11-26
X,24.27,Call,22,2021-12-03,7,2.38,2.43,2.48,2.35,1085,430,2.52,67.38%,0.863922,2021-11-26
XOM,61.25,Put,59,2021-12-03,7,0.46,0.48,0.49,0.46,573,228,2.51,38.08%,-0.236489,2021-11-26
MARA,49.2,Call,58,2021-12-03,7,0.66,0.7,0.74,0.74,812,323,2.51,119.33%,0.180584,2021-11-26
MRNA,329.63,Call,500,2021-12-17,21,1.33,1.46,1.58,1.54,843,339,2.49,99.05%,0.051075,2021-11-26
CVX,114.51,Call,111,2021-12-03,7,4.4,4.53,4.65,4.62,753,304,2.48,40.88%,0.715125,2021-11-26
PLUG,40.25,Call,41,2021-12-03,7,1.47,1.51,1.55,1.51,815,328,2.48,82.96%,0.458918,2021-11-26
BA,199.21,Put,170,2021-12-03,7,0.3,0.32,0.33,0.3,1399,563,2.48,66.77%,-0.039105,2021-11-26
AAL,17.75,Put,18,2021-11-26,0,0.23,0.25,0.27,0.28,3481,1410,2.47,0.00%,0,2021-11-26
DIS,148.11,Put,147,2021-12-03,7,1.86,1.98,2.09,2,769,313,2.46,30.88%,-0.421669,2021-11-26
ZM,220.21,Call,230,2021-12-03,7,4.2,4.45,4.7,4.43,2246,918,2.45,67.87%,0.338804,2021-11-26
COF,149.16,Put,140,2022-06-17,202,10.4,10.9,11.4,10.3,611,251,2.43,34.15%,-0.361823,2021-11-26
AXP,156.82,Call,170,2021-12-03,7,0.29,0.33,0.38,0.34,1380,567,2.43,41.54%,0.084233,2021-11-26
JPM,161.93,Put,157.5,2021-12-03,7,0.94,1,1.06,1.07,1530,629,2.43,29.74%,-0.247031,2021-11-26
TDOC,109.61,Call,120,2021-12-03,7,0.97,1.07,1.16,1.06,1652,681,2.43,70.30%,0.189011,2021-11-26
XPEV,51.11,Call,54,2021-12-10,14,1.94,2.14,2.33,2.39,607,251,2.42,82.55%,0.397719,2021-11-26
MS,97.93,Call,100,2021-12-03,7,1,1.07,1.13,1.1,720,297,2.42,36.24%,0.344227,2021-11-26
MRNA,329.63,Call,315,2021-11-26,0,14,15.5,17,15.63,729,303,2.41,81.77%,0.86212,2021-11-26
BABA,133.35,Put,130,2021-12-03,7,2.27,2.32,2.36,2.31,969,402,2.41,51.56%,-0.347439,2021-11-26
BA,199.21,Call,220,2021-12-03,7,0.38,0.39,0.4,0.38,1073,447,2.4,47.08%,0.068131,2021-11-26
BAC,45.76,Call,44.5,2021-11-26,0,1.21,1.33,1.44,1.25,841,352,2.39,65.99%,0.796905,2021-11-26
GEVO,5.75,Put,5,2023-01-20,420,1.7,1.78,1.85,1.81,679,285,2.38,99.06%,-0.253097,2021-11-26
KDP,34.98,Call,39,2022-01-21,56,0.1,0.15,0.2,0.14,816,343,2.38,21.74%,0.102327,2021-11-26
AMZN,3504.56,Put,3500,2021-12-03,7,55.8,59.47,63.15,62.15,3275,1378,2.38,33.30%,-0.479434,2021-11-26
MRNA,329.63,Call,600,2021-12-17,21,0.48,0.52,0.55,0.5,588,249,2.36,111.01%,0.017185,2021-11-26
UPST,209.41,Call,220,2021-12-03,7,5.6,5.95,6.3,5.7,655,277,2.36,85.43%,0.36025,2021-11-26
ZM,220.21,Call,230,2021-12-17,21,9,9.2,9.4,8.3,1367,579,2.36,62.89%,0.415792,2021-11-26
NLS,7.38,Call,7.5,2021-12-17,21,0.45,0.5,0.55,0.45,1995,847,2.36,71.39%,0.496678,2021-11-26
AAPL,156.81,Put,157.5,2021-12-03,7,2.9,2.97,3.05,3.02,19074,8092,2.36,30.56%,-0.53368,2021-11-26
MGM,41.85,Call,42,2021-12-17,21,1.93,1.96,2,1.99,1469,624,2.35,51.47%,0.513165,2021-11-26
PDD,68.46,Put,55,2021-12-03,7,0.39,0.42,0.44,0.45,532,227,2.34,117.75%,-0.077197,2021-11-26
JPM,161.93,Call,160,2021-11-26,0,1.84,2.17,2.49,1.9,1676,715,2.34,39.30%,0.724178,2021-11-26
AAPL,156.81,Put,155,2021-12-03,7,1.79,1.9,2,1.95,25392,10916,2.33,32.00%,-0.388846,2021-11-26
AMZN,3504.56,Put,3490,2021-11-26,0,0.05,0.28,0.5,0.1,2327,1001,2.32,4.34%,-0.032336,2021-11-26
PFE,54,Call,54.5,2021-12-03,7,1.03,1.05,1.06,1.05,5998,2580,2.32,43.28%,0.447417,2021-11-26
AMC,37.63,Put,30,2021-12-03,7,0.15,0.16,0.16,0.16,6480,2788,2.32,110.97%,-0.060384,2021-11-26
SIRI,6.17,Call,7,2022-03-18,111,0.25,0.28,0.3,0.3,2713,1173,2.31,44.29%,0.339774,2021-11-26
JMIA,13.64,Call,15,2021-12-17,21,0.75,0.78,0.81,0.77,3761,1629,2.31,98.21%,0.387602,2021-11-26
NRG,36.25,Put,34,2021-12-17,21,0.3,0.38,0.45,0.45,1189,518,2.3,37.22%,-0.228923,2021-11-26
TSLA,1081.92,Call,1240,2021-12-03,7,2.94,3.12,3.3,3.15,1615,703,2.3,65.96%,0.073912,2021-11-26
SAVE,20.6,Call,30,2023-01-20,420,2.65,2.74,2.83,2.71,8861,3857,2.3,60.01%,0.398243,2021-11-26
AG,11.91,Call,12.5,2021-12-03,7,0.16,0.18,0.19,0.16,585,255,2.29,57.17%,0.283866,2021-11-26
AMWL,6.68,Call,7.5,2021-12-17,21,0.15,0.18,0.2,0.2,1683,735,2.29,75.08%,0.290218,2021-11-26
PDD,68.46,Call,80,2022-01-21,56,3.65,3.8,3.95,3.85,2072,906,2.29,72.66%,0.342961,2021-11-26
TSLA,1081.92,Call,1160,2021-12-03,7,13.15,13.55,13.95,13.4,2260,985,2.29,66.56%,0.238902,2021-11-26
GOOGL,2843.66,Put,2850,2021-11-26,0,0.15,2.53,4.9,3.5,1016,445,2.28,0.00%,0,2021-11-26
AAL,17.75,Put,15.5,2021-12-03,7,0.13,0.14,0.14,0.13,1589,698,2.28,86.94%,-0.117759,2021-11-26
MAR,147.44,Call,175,2022-01-21,56,1.35,1.48,1.61,1.49,2043,898,2.28,38.06%,0.141483,2021-11-26
DAL,36.38,Call,36,2022-01-21,56,3,3.08,3.15,3.06,667,294,2.27,50.70%,0.560901,2021-11-26
FCEL,8.94,Call,9,2021-12-03,7,0.49,0.5,0.51,0.51,2261,999,2.26,108.95%,0.512446,2021-11-26
ACI,35.72,Call,40,2021-12-17,21,0.4,0.45,0.5,0.5,2652,1173,2.26,53.59%,0.205541,2021-11-26
CCL,17.95,Call,19,2021-12-31,35,1.06,1.13,1.19,1.1,513,228,2.25,68.87%,0.436705,2021-11-26
PFE,54,Call,60,2021-12-31,35,0.68,0.72,0.75,0.72,665,296,2.25,39.48%,0.205339,2021-11-26
XOM,61.25,Put,59,2021-12-17,21,1.12,1.15,1.17,1.57,512,229,2.24,35.01%,-0.324887,2021-11-26
AMZN,3504.56,Put,3545,2021-11-26,0,29,36.18,43.35,32.52,1261,564,2.24,21.03%,-0.851863,2021-11-26
KO,53.73,Call,55,2021-12-03,7,0.1,0.11,0.12,0.1,1301,580,2.24,16.79%,0.155008,2021-11-26
AMZN,3504.56,Put,3580,2021-11-26,0,64,71.05,78.1,63.43,1909,854,2.24,31.60%,-0.901267,2021-11-26
LCID,51.72,Put,49,2021-12-03,7,1.9,1.92,1.95,1.93,1943,868,2.24,111.65%,-0.334743,2021-11-26
NFLX,665.64,Put,665,2021-11-26,0,0.22,0.67,1.11,0.15,1039,465,2.23,6.90%,-0.393328,2021-11-26
VIAC,32.61,Call,33,2021-12-17,21,1.07,1.11,1.14,1.07,769,346,2.22,40.70%,0.465049,2021-11-26
ZM,220.21,Call,215,2021-11-26,0,4.8,5.65,6.5,5.78,681,308,2.21,50.81%,0.821296,2021-11-26
UAL,42.26,Put,40,2021-12-03,7,0.67,0.69,0.7,0.7,701,317,2.21,69.56%,-0.267981,2021-11-26
DIS,148.11,Call,150,2021-12-03,7,1.65,1.71,1.76,1.73,1267,577,2.2,31.14%,0.392749,2021-11-26
AAPL,156.81,Put,147,2021-12-17,21,0.27,0.98,1.68,1.35,3376,1546,2.18,32.41%,-0.193012,2021-11-26
AMD,154.81,Call,160,2021-12-03,7,2.45,2.48,2.51,2.54,11606,5330,2.18,53.12%,0.340405,2021-11-26
COIN,303.19,Call,320,2021-12-03,7,3.8,4,4.2,4,538,248,2.17,59.83%,0.270998,2021-11-26
SCHW,79.15,Call,90,2021-12-17,21,0.11,0.13,0.15,0.13,1540,712,2.16,32.27%,0.051916,2021-11-26
UBER,40.52,Put,40,2021-12-10,14,1.31,1.41,1.51,1.38,1926,892,2.16,51.76%,-0.429213,2021-11-26
OLN,58.7,Put,50,2021-12-17,21,0.45,0.53,0.6,0.66,500,233,2.15,60.04%,-0.11871,2021-11-26
NIO,39.99,Put,41,2021-12-03,7,2.16,2.23,2.29,2.18,1151,535,2.15,72.70%,-0.578213,2021-11-26
XPEV,51.11,Call,65,2022-04-14,138,4.7,4.9,5.1,5,875,408,2.14,74.84%,0.385185,2021-11-26
PXD,181.73,Call,10,2022-01-21,56,11.3,12.5,13.7,12.4,650,305,2.13,0.00%,0,2021-11-26
NCLH,20.06,Put,18,2021-12-17,21,0.78,0.82,0.86,0.84,1192,559,2.13,92.11%,-0.273871,2021-11-26
JNJ,159.2,Put,157.5,2021-12-03,7,1.14,1.27,1.39,1.2,781,369,2.12,21.75%,-0.360969,2021-11-26
AMZN,3504.56,Put,3560,2021-11-26,0,44.25,51.65,59.05,43.48,2206,1041,2.12,27.85%,-0.859353,2021-11-26
DKNG,36.04,Put,35,2021-12-03,7,0.88,0.9,0.92,0.89,946,449,2.11,68.66%,-0.361044,2021-11-26
C,65.5,Call,65,2021-12-03,7,1.4,1.46,1.52,1.42,1000,474,2.11,32.49%,0.572546,2021-11-26
BA,199.21,Put,150,2022-02-18,84,2.97,3.04,3.1,3.22,1784,846,2.11,53.76%,-0.109295,2021-11-26
GS,389.39,Call,390,2021-11-26,0,0.08,0.42,0.76,0.4,527,251,2.1,8.26%,0.35469,2021-11-26
PTON,46.41,Put,46,2021-12-03,7,1.84,1.91,1.97,1.87,570,272,2.1,81.09%,-0.446191,2021-11-26
CVNA,291.11,Call,300,2021-12-03,7,2.88,3.34,3.8,3.46,708,337,2.1,43.05%,0.317528,2021-11-26
AAPL,156.81,Put,157.5,2021-12-10,14,3.9,4.08,4.25,4,6769,3226,2.1,29.57%,-0.519793,2021-11-26
LCID,51.72,Call,51,2021-11-26,0,0.68,0.79,0.9,0.76,11979,5707,2.1,23.64%,0.874401,2021-11-26
NVDA,315.03,Call,355,2021-12-03,7,0.66,0.71,0.76,0.75,2459,1175,2.09,56.99%,0.070238,2021-11-26
MS,97.93,Call,105,2021-12-03,7,0.17,0.19,0.21,0.16,611,294,2.08,36.37%,0.085594,2021-11-26
APA,26.24,Call,27.5,2021-12-03,7,0.48,0.52,0.56,0.58,619,299,2.07,69.49%,0.329679,2021-11-26
INO,7.25,Call,7,2021-11-26,0,0.24,0.39,0.53,0.25,771,372,2.07,265.92%,0.626693,2021-11-26
ATNF,5.41,Call,10,2021-12-17,21,0.3,0.38,0.45,0.4,697,339,2.06,264.49%,0.257458,2021-11-26
PTON,46.41,Call,52,2021-12-03,7,0.5,0.53,0.55,0.51,960,465,2.06,84.81%,0.181523,2021-11-26
CVX,114.51,Put,111,2021-12-03,7,0.88,0.92,0.96,0.96,619,302,2.05,36.47%,-0.26571,2021-11-26
ARQQ,34.85,Call,40,2021-12-17,21,1.5,1.8,2.1,1.85,676,330,2.05,109.24%,0.346468,2021-11-26
INTC,48.78,Put,48.5,2021-12-03,7,0.62,0.64,0.65,0.66,975,478,2.04,28.13%,-0.438529,2021-11-26
PFE,54,Call,53.5,2021-11-26,0,0.46,0.55,0.64,0.6,4538,2228,2.04,25.65%,0.75843,2021-11-26
CDEV,6.19,Put,6,2022-01-21,56,0.6,0.68,0.75,0.65,546,269,2.03,78.19%,-0.399163,2021-11-26
NVDA,315.03,Call,317.5,2021-12-03,7,8.15,8.6,9.05,8.55,916,452,2.03,55.73%,0.475056,2021-11-26
ZM,220.21,Put,220,2021-12-03,7,7.2,7.6,8,7.7,848,419,2.02,64.22%,-0.477935,2021-11-26
EXPE,159.8,Put,150,2021-12-17,21,3.75,3.9,4.05,4.25,529,263,2.01,53.00%,-0.287132,2021-11-26
BA,199.21,Put,105,2022-09-16,293,2.35,2.48,2.6,2.51,589,295,2,51.77%,-0.053246,2021-11-26
NVDA,315.03,Put,317.5,2021-11-26,0,0.38,1.74,3.1,1.5,3648,1822,2,23.87%,-0.73354,2021-11-26
BAC,45.76,Call,46.5,2021-12-03,7,0.47,0.48,0.49,0.48,4374,2190,2,31.43%,0.361888,2021-11-26
AMD,154.81,Call,185,2021-12-03,7,0.11,0.12,0.13,0.14,637,320,1.99,63.67%,0.024069,2021-11-26
CVX,114.51,Call,114,2021-11-26,0,0.41,0.6,0.79,0.6,1254,631,1.99,11.95%,0.762389,2021-11-26
BABA,133.35,Call,140,2021-12-10,14,2.56,2.63,2.7,2.76,1635,823,1.99,49.70%,0.325961,2021-11-26
AER,57.74,Call,70,2022-01-21,56,0.6,0.7,0.8,0.65,1032,520,1.98,42.53%,0.141977,2021-11-26
SPCE,16.73,Call,17,2021-12-03,7,0.55,0.57,0.58,0.56,609,309,1.97,73.71%,0.457919,2021-11-26
CHPT,25.82,Put,24,2021-12-03,7,0.37,0.4,0.42,0.4,1129,574,1.97,78.08%,-0.2326,2021-11-26
NVDA,315.03,Call,315,2021-11-26,0,0.35,0.48,0.6,0.5,4111,2082,1.97,7.42%,0.510701,2021-11-26
ET,8.84,Call,8.5,2021-11-26,0,0.3,0.34,0.38,0.32,726,371,1.96,86.41%,0.814321,2021-11-26
WYNN,85.69,Put,82.5,2022-03-18,111,7.95,8.1,8.25,8.15,1314,669,1.96,52.45%,-0.39115,2021-11-26
SCHW,79.15,Call,95,2022-06-17,202,2.08,2.26,2.43,2.36,1512,773,1.96,31.03%,0.243557,2021-11-26
MSFT,329.68,Put,325,2021-12-03,7,3.1,3.3,3.5,3.26,1782,908,1.96,29.08%,-0.354826,2021-11-26
TTD,103.98,Call,140,2023-01-20,420,14,14.85,15.7,14.46,2390,1221,1.96,56.60%,0.427816,2021-11-26
AMC,37.63,Call,36,2021-12-03,7,2.72,2.79,2.85,2.8,735,377,1.95,92.16%,0.659444,2021-11-26
FB,333.12,Put,310,2021-12-31,35,6.25,6.45,6.65,6.5,564,292,1.93,38.77%,-0.254566,2021-11-26
AMC,37.63,Put,34,2021-12-03,7,0.58,0.6,0.62,0.6,1431,742,1.93,95.39%,-0.202103,2021-11-26
BAC,45.76,Call,45.5,2021-11-26,0,0.24,0.28,0.31,0.26,3146,1630,1.93,4.95%,0.997594,2021-11-26
CCL,17.95,Put,15,2021-12-03,7,0.13,0.14,0.14,0.13,3188,1648,1.93,106.32%,-0.097972,2021-11-26
UAL,42.26,Call,41,2021-12-17,21,3,3.13,3.25,3.05,541,282,1.92,59.44%,0.61177,2021-11-26
PBI,7.15,Call,7,2022-04-14,138,1,1.08,1.15,1.04,550,287,1.92,57.83%,0.581427,2021-11-26
BABA,133.35,Put,110,2022-06-17,202,9.8,9.98,10.15,10.05,3005,1565,1.92,54.74%,-0.249028,2021-11-26
TSLA,1081.92,Put,500,2021-12-03,7,0.19,0.22,0.24,0.26,6247,3254,1.92,205.78%,-0.002183,2021-11-26
QS,30.64,Call,33,2021-12-03,7,0.69,0.72,0.75,0.68,584,305,1.91,93.18%,0.30487,2021-11-26
DKNG,36.04,Call,43,2021-12-17,21,0.57,0.59,0.6,0.61,863,451,1.91,73.92%,0.182193,2021-11-26
BNTX,348,Call,380,2021-12-03,7,10.5,11.15,11.8,11.6,990,522,1.9,121.17%,0.329854,2021-11-26
AAL,17.75,Call,18,2022-04-14,138,2.23,2.26,2.3,2.18,670,354,1.89,54.68%,0.550597,2021-11-26
TDOC,109.61,Call,120,2021-12-17,21,2.8,2.86,2.91,2.89,1287,681,1.89,62.64%,0.298938,2021-11-26
OCGN,6.45,Call,7.5,2021-12-10,14,0.25,0.32,0.38,0.32,702,373,1.88,134.15%,0.329003,2021-11-26
BABA,133.35,Call,225,2022-02-18,84,0.44,0.54,0.63,0.34,1029,546,1.88,57.57%,0.039647,2021-11-26
SHOP,1576.7,Call,1650,2021-11-26,0,0.05,0.1,0.15,0.12,1323,702,1.88,38.15%,0.011245,2021-11-26
UPST,209.41,Call,210,2021-11-26,0,0.05,0.1,0.15,0.1,1540,821,1.88,7.12%,0.224179,2021-11-26
BRK.B,283.09,Put,277.5,2021-12-03,7,0.87,1.04,1.2,1.2,829,443,1.87,21.07%,-0.24235,2021-11-26
AMC,37.63,Call,41,2021-12-03,7,0.87,0.88,0.89,0.88,1774,948,1.87,99.56%,0.290077,2021-11-26
AAPL,156.81,Call,167.5,2021-12-03,7,0.23,0.27,0.3,0.27,14029,7511,1.87,33.75%,0.082331,2021-11-26
AAPL,156.81,Call,160,2021-12-31,35,4.4,4.63,4.85,4.6,74586,39848,1.87,31.12%,0.434591,2021-11-26
FB,333.12,Put,332.5,2021-12-03,7,6.75,6.9,7.05,6.65,902,486,1.86,39.21%,-0.475401,2021-11-26
FCX,37.24,Call,37,2021-11-26,0,0.17,0.25,0.32,0.26,1585,853,1.86,12.54%,0.839923,2021-11-26
AMC,37.63,Call,47,2021-12-03,7,0.32,0.33,0.33,0.33,2377,1280,1.86,123.83%,0.112974,2021-11-26
AZN,56.58,Call,57.5,2021-12-17,21,0.99,1.08,1.16,1.02,3490,1880,1.86,26.79%,0.406208,2021-11-26
ATXS,6.98,Call,7.5,2022-07-15,230,1.65,2.13,2.6,1.98,552,298,1.85,99.81%,0.620279,2021-11-26
GME,199.72,Call,300,2021-12-03,7,0.9,0.97,1.03,1,915,498,1.84,170.68%,0.054466,2021-11-26
FCX,37.24,Call,37,2021-12-03,7,1.22,1.26,1.3,1.25,970,527,1.84,55.04%,0.548294,2021-11-26
TSLA,1081.92,Put,1080,2021-12-03,7,42.95,43.5,44.05,43.15,2943,1601,1.84,73.90%,-0.472634,2021-11-26
UBER,40.52,Call,43,2021-12-17,21,0.96,0.98,1,1.01,541,298,1.82,49.52%,0.329799,2021-11-26
AAL,17.75,Put,17,2021-12-10,14,0.59,0.6,0.6,0.59,589,323,1.82,67.60%,-0.347324,2021-11-26
AUPH,19.33,Call,26,2021-12-17,21,0.6,0.88,1.15,1,515,284,1.81,155.22%,0.270923,2021-11-26
JPM,161.93,Call,162.5,2021-12-03,7,2.22,2.32,2.41,2.37,1074,592,1.81,29.85%,0.470713,2021-11-26
QCOM,175.74,Put,165,2021-12-03,7,0.95,1.03,1.1,1.08,629,350,1.8,48.56%,-0.1666,2021-11-26
V,197.65,Call,197.5,2021-12-03,7,3.9,4.03,4.15,4.2,756,419,1.8,36.29%,0.515164,2021-11-26
MSFT,329.68,Call,332.5,2021-12-03,7,3.75,3.9,4.05,4.1,1153,640,1.8,28.46%,0.42102,2021-11-26
F,19.75,Call,20,2021-12-31,35,1.02,1.06,1.1,1.02,2522,1403,1.8,47.12%,0.490078,2021-11-26
PFE,54,Call,65,2022-09-16,293,2.14,2.29,2.43,2.3,2724,1510,1.8,31.95%,0.277328,2021-11-26
AMD,154.81,Call,155,2021-12-03,7,4.45,4.53,4.6,4.6,8196,4547,1.8,54.86%,0.50879,2021-11-26
TSLA,1081.92,Call,1230,2021-12-03,7,3.5,3.7,3.9,4,1053,588,1.79,65.42%,0.085268,2021-11-26
NVDA,315.03,Call,315,2021-12-03,7,9.7,10.02,10.35,9.99,2315,1291,1.79,57.33%,0.516334,2021-11-26
NIO,39.99,Call,42,2021-12-03,7,0.87,0.9,0.92,0.89,5113,2854,1.79,75.56%,0.33861,2021-11-26
MSFT,329.68,Put,327.5,2021-12-03,7,3.65,4.13,4.6,4.25,2017,1134,1.78,28.93%,-0.427508,2021-11-26
APT,6.41,Call,7,2022-01-21,56,0.43,0.46,0.5,0.5,738,416,1.77,72.67%,0.433943,2021-11-26
AEO,26.81,Call,28,2023-01-20,420,4.6,4.82,5.05,4.8,749,424,1.77,49.30%,0.546132,2021-11-26
UAL,42.26,Put,41,2021-12-03,7,0.96,0.98,0.99,0.95,746,423,1.76,66.25%,-0.353462,2021-11-26
AMD,154.81,Call,157.5,2021-12-10,14,5.2,5.28,5.35,5.3,1007,573,1.76,53.76%,0.455919,2021-11-26
HD,402.7,Put,405,2021-11-26,0,0.53,1.41,2.29,1.12,1399,793,1.76,0.00%,0,2021-11-26
PENN,52.77,Call,61,2021-12-10,14,0.66,0.73,0.79,0.79,1811,1027,1.76,77.85%,0.19099,2021-11-26
TSLA,1081.92,Put,650,2021-12-03,7,0.51,0.58,0.65,0.65,3870,2197,1.76,159.09%,-0.007707,2021-11-26
ATXS,6.98,Call,12.5,2022-07-15,230,0.9,1.1,1.3,1.18,549,314,1.75,110.51%,0.410997,2021-11-26
CGC,11.69,Call,12,2021-12-03,7,0.39,0.41,0.42,0.4,605,346,1.75,82.70%,0.432045,2021-11-26
DAL,36.38,Call,35,2022-03-18,111,4.5,4.58,4.65,4.48,578,333,1.74,49.09%,0.609838,2021-11-26
AAPL,156.81,Put,148,2021-12-17,21,1.34,1.55,1.75,1.54,1480,850,1.74,32.06%,-0.215582,2021-11-26
GOLD,19.38,Call,13,2022-01-21,56,6.35,6.4,6.45,6.4,2400,1378,1.74,55.38%,0.978163,2021-11-26
AFRM,136.98,Call,145,2021-12-03,7,2.65,2.72,2.8,2.73,914,529,1.73,75.69%,0.311941,2021-11-26
AMC,37.63,Call,48,2021-12-03,7,0.28,0.3,0.31,0.31,921,531,1.73,129.91%,0.103305,2021-11-26
AAL,17.75,Call,20.5,2021-12-17,21,0.22,0.23,0.24,0.23,2293,1328,1.73,60.17%,0.177313,2021-11-26
BABA,133.35,Put,280,2023-01-20,420,147.1,148.27,149.45,149.65,1953,1137,1.72,43.36%,-0.916693,2021-11-26
XOM,61.25,Call,60,2021-12-03,7,1.99,2.02,2.05,1.95,522,305,1.71,39.93%,0.650716,2021-11-26
GM,60.17,Call,61,2021-12-03,7,1,1.04,1.08,1.12,629,370,1.7,42.32%,0.419074,2021-11-26
LCID,51.72,Put,45,2021-12-10,14,1.7,1.73,1.77,1.84,645,380,1.7,113.76%,-0.230775,2021-11-26
UAL,42.26,Call,50,2021-12-10,14,0.15,0.16,0.18,0.17,729,430,1.7,58.83%,0.080475,2021-11-26
GM,60.17,Put,58,2021-12-03,7,0.6,0.64,0.67,0.63,829,488,1.7,44.95%,-0.267149,2021-11-26
PTON,46.41,Call,54,2021-12-03,7,0.31,0.33,0.34,0.33,968,571,1.7,89.32%,0.122487,2021-11-26
PYPL,187.79,Call,185,2022-01-21,56,13.3,13.65,14,13.33,1036,611,1.7,40.77%,0.569435,2021-11-26
AMC,37.63,Call,75,2021-12-10,14,0.33,0.35,0.36,0.35,1677,985,1.7,203.02%,0.062317,2021-11-26
MS,97.93,Put,92.5,2024-01-19,784,15.5,16.95,18.4,18.75,600,355,1.69,32.93%,-0.372474,2021-11-26
CVX,114.51,Put,113,2021-12-03,7,1.41,1.46,1.52,1.53,759,448,1.69,33.38%,-0.384763,2021-11-26
PDD,68.46,Put,70,2021-12-03,7,4.15,4.33,4.5,4.8,844,498,1.69,91.63%,-0.544513,2021-11-26
IFF,144.57,Put,135,2021-12-17,21,0.9,1.45,2,2.3,1446,858,1.69,35.48%,-0.201975,2021-11-26
VLTA,9.94,Put,9,2021-12-17,21,0.45,0.5,0.55,0.55,534,318,1.68,104.85%,-0.301194,2021-11-26
NVDA,315.03,Call,580,2023-06-16,566,22.5,26.5,30.5,25.78,763,454,1.68,52.58%,0.273883,2021-11-26
PTON,46.41,Call,48,2021-12-03,7,1.4,1.43,1.46,1.46,887,527,1.68,82.97%,0.406856,2021-11-26
NVDA,315.03,Put,312.5,2021-12-03,7,8.3,8.4,8.5,8.1,944,562,1.68,55.47%,-0.442962,2021-11-26
LI,32.4,Call,35,2021-12-03,7,0.85,0.89,0.92,0.88,1025,611,1.68,102.41%,0.317988,2021-11-26
